Entity,Code,Year,Mismanaged waste (% global total)
Christmas Island,CXR,2010,0
Cocos Islands,CCK,2010,0
Falkland Islands,FLK,2010,0
Niue,NIU,2010,0
Saint Pierre and Miquelon,SPM,2010,0
Montserrat,MSR,2010,0.0001
Tokelau,TKL,2010,0.0001
Anguilla,AIA,2010,0.0002
British Virgin Islands,VGB,2010,0.0002
Gibraltar,GIB,2010,0.0002
Monaco,MCO,2010,0.0002
Norfolk Island,NFK,2010,0.0002
Sint Maarten (Dutch part),SXM,2010,0.0002
Turks and Caicos Islands,TCA,2010,0.0002
Brunei,BRN,2010,0.0003
Cayman Islands,CYM,2010,0.0003
Faeroe Islands,FRO,2010,0.0003
Greenland,GRL,2010,0.0003
Guernsey,GGY,2010,0.0003
Saint Helena,SHN,2010,0.0003
Bermuda,BMU,2010,0.0004
Northern Mariana Islands,MNP,2010,0.0007
Curacao,CUW,2010,0.0008
Channel Islands,OWID_CIS,2010,0.0009
Aruba,ABW,2010,0.0012
Guam,GUM,2010,0.0012
Cook Islands,COK,2010,0.0013
Netherlands Antilles,ANT,2010,0.0013
Tuvalu,TUV,2010,0.0014
New Caledonia,NCL,2010,0.0015
Nauru,NRU,2010,0.0017
Slovenia,SVN,2010,0.0017
Iceland,ISL,2010,0.0019
Macao,MAC,2010,0.0022
Palau,PLW,2010,0.0022
Saint Kitts and Nevis,KNA,2010,0.0022
Martinique,MTQ,2010,0.0024
Qatar,QAT,2010,0.0024
Dominica,DMA,2010,0.0025
Reunion,REU,2010,0.0027
Antigua,ATG,2010,0.0039
French Polynesia,PYF,2010,0.004
Bahamas,BHS,2010,0.0042
Jordan,JOR,2010,0.0055
Denmark,DNK,2010,0.0056
Cyprus,CYP,2010,0.0057
Sweden,SWE,2010,0.0068
Saint Vincent and the Grenadines,VCT,2010,0.007
Grenada,GRD,2010,0.0071
French Guiana,GUF,2010,0.0074
Malta,MLT,2010,0.0082
Belgium,BEL,2010,0.0086
United Arab Emirates,ARE,2010,0.0095
Kiribati,KIR,2010,0.0096
Marshall Islands,MHL,2010,0.01
Barbados,BRB,2010,0.0109
Lithuania,LTU,2010,0.0109
Romania,ROU,2010,0.0113
Belize,BLZ,2010,0.0122
Suriname,SUR,2010,0.0124
Bahrain,BHR,2010,0.0137
Montenegro,MNE,2010,0.0139
Seychelles,SYC,2010,0.0145
Oman,OMN,2010,0.0146
Micronesia (country),FSM,2010,0.0151
Finland,FIN,2010,0.0157
Sao Tome and Principe,STP,2010,0.016
Samoa,WSM,2010,0.0161
Namibia,NAM,2010,0.0172
Palestine,PSE,2010,0.0176
Equatorial Guinea,GNQ,2010,0.0188
Estonia,EST,2010,0.0188
Gabon,GAB,2010,0.0191
Singapore,SGP,2010,0.0203
Guadeloupe,GLP,2010,0.0206
Tonga,TON,2010,0.0208
Saint Lucia,LCA,2010,0.0211
Canada,CAN,2010,0.025
Norway,NOR,2010,0.0264
New Zealand,NZL,2010,0.0292
Cape Verde,CPV,2010,0.0294
Jamaica,JAM,2010,0.0315
Latvia,LVA,2010,0.0323
Kuwait,KWT,2010,0.0361
Ireland,IRL,2010,0.0368
Bosnia and Herzegovina,BIH,2010,0.0407
Mauritania,MRT,2010,0.0435
Australia,AUS,2010,0.0436
Greece,GRC,2010,0.0447
Georgia,GEO,2010,0.0454
Democratic Republic of Congo,COD,2010,0.0478
Iraq,IRQ,2010,0.0489
Poland,POL,2010,0.0493
Eritrea,ERI,2010,0.0511
Portugal,PRT,2010,0.0515
Croatia,HRV,2010,0.0517
Puerto Rico,PRI,2010,0.0519
Congo,COG,2010,0.0527
Djibouti,DJI,2010,0.0544
Guinea,GIN,2010,0.0581
Bulgaria,BGR,2010,0.0588
Israel,ISR,2010,0.0597
Gambia,GMB,2010,0.0616
Guinea-Bissau,GNB,2010,0.0636
Solomon Islands,SLB,2010,0.064
Saudi Arabia,SAU,2010,0.0645
Uruguay,URY,2010,0.0677
Chile,CHL,2010,0.0683
Vanuatu,VUT,2010,0.0706
Kenya,KEN,2010,0.0712
Sudan,SDN,2010,0.072
France,FRA,2010,0.0757
Cameroon,CMR,2010,0.087
Netherlands,NLD,2010,0.087
Hong Kong,HKG,2010,0.0895
Cambodia,KHM,2010,0.0932
Albania,ALB,2010,0.0933
Germany,DEU,2010,0.0981
Maldives,MDV,2010,0.0988
Italy,ITA,2010,0.1029
South Korea,KOR,2010,0.106
Panama,PAN,2010,0.108
Madagascar,MDG,2010,0.1084
Togo,TGO,2010,0.1112
Sierra Leone,SLE,2010,0.1143
Guyana,GUY,2010,0.1319
Costa Rica,CRI,2010,0.1322
Benin,BEN,2010,0.1351
Taiwan,TWN,2010,0.1436
Spain,ESP,2010,0.144
Mozambique,MOZ,2010,0.1444
Lebanon,LBN,2010,0.1502
Tanzania,TZA,2010,0.1526
Fiji,FJI,2010,0.1547
Libya,LBY,2010,0.1657
Mauritius,MUS,2010,0.176
Liberia,LBR,2010,0.1781
Comoros,COM,2010,0.1822
Angola,AGO,2010,0.1964
